,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
12,-0.011203274803404106,-0.17901748542880935,1.269248291571754,-0.0586816720257235,-1.1600245248313918,-0.891736066623959,0.009345794392523255,0.009345794392523255,0.0,0.0,-0.04793388429752066,0.617283950617284,2.1752577319587627,-2.21285140562249,-0.8579545454545454,0.07992296581608094,-1.159963436928702,0.0,0.20231213872832354,inf,0.0,-0.05099337748344357,0.0,-0.12782266418065047
11,-0.011203274803404106,-0.17901748542880935,1.269248291571754,-0.0586816720257235,-1.1600245248313918,-0.891736066623959,0.009345794392523255,0.009345794392523255,0.0,0.0,-0.04793388429752066,0.617283950617284,2.1752577319587627,-2.21285140562249,-0.8579545454545454,0.07992296581608094,-1.159963436928702,0.0,0.20231213872832354,inf,0.0,-0.05099337748344357,0.0,-0.12782266418065047
10,0.08007408214402445,0.02738336713995948,0.014354547279662677,0.1460290350128095,-0.756066411238825,-0.10059171597633132,-0.2592592592592593,-0.2592592592592593,0.0,0.0,-0.13194444444444442,-0.057251908396946605,-0.5633116883116883,-0.9470198675496688,-0.31999999999999995,0.07992296581608094,-0.7561904761904762,0.0,0.20231213872832354,inf,0.0,-0.05099337748344357,0.0,-0.10356294536817112
9,-0.08301391970950167,0.009871668311944637,-0.05403265710044536,-0.058122205663189264,1.4502617801047122,27.82236842105263,0.2124999999999999,0.2124999999999999,0.0,0.0,-0.256,-0.15384615384615385,-0.46468401486988853,-2.1875,0.5588235294117647,0.11992866696388771,1.4296875,0.0,0.20231213872832354,0.0,0.0,-0.05099337748344357,0.0,0.07220455749867516
8,-0.011879881201187992,-0.014662756598240456,-0.02563029605607281,0.12104430379746844,-0.2927350427350427,-0.9700981511070532,-0.17525773195876293,-0.17525773195876293,0.0,-0.009433962264150941,0.29032258064516125,-0.22009569377990434,1.25,-1.368421052631579,-0.13207547169811318,0.08160828025477707,-0.29581993569131837,0.0,0.20231213872832354,1.0,0.0,-0.05099337748344357,0.0,-0.12096873841591493
7,-0.010241567405098517,-0.015873015873015928,-0.04917328752415717,-0.17784050811573748,-1.105740181268882,0.15267175572519087,0.10000000000000009,0.10000000000000009,0.08411214953271018,0.09523809523809512,-0.53125,0.13496932515337434,-0.7777777777777778,3.571428571428571,-0.6956521739130435,0.1129922708870077,-1.1050228310502284,0.0,0.20231213872832354,0.6299999999999999,-0.9926010244735345,-0.05099337748344357,0.0,0.19693561990441388
6,-0.0022494657518838945,0.0,-0.012082204155374865,0.14248927038626613,2.4857142857142858,-0.019867549668874163,-0.10795454545454541,-0.10795454545454541,-0.1206896551724137,-0.12173913043478257,1.3199999999999998,0.037837837837837895,3.6388888888888893,-0.875,-0.2857142857142857,-0.01058201058201047,2.4782608695652173,203.85826771653544,0.054487179487179516,0.3803680981595092,2.5384615384615388,-0.0034891835310537633,0.03846153846153855,-0.12472108044627139
5,0.003381805884342226,-0.006048387096774244,-0.012801463024345594,-0.09992486851990989,1.1639344262295084,0.006756756756756799,0.21019108280254772,0.21019108280254772,0.22549019607843146,0.2178217821782178,-0.23946360153256707,0.32291666666666674,-0.7485029940119761,-15.75,5.9,-0.12249331550802145,1.15,-0.7477034246838605,-0.11322188449848025,0.28,1.1521739130434785,7.260504201680671,-0.8888888888888888,0.10425332081041194
4,-0.01269520278620384,-0.045638945233265726,-0.009494037281463474,0.10934891485809684,-0.11742424242424243,-0.0738255033557047,0.11578947368421044,0.11578947368421044,0.11199999999999988,0.12195121951219501,0.49370277078085634,-0.3110236220472441,4.178571428571429,-1.288135593220339,-0.24637681159420288,-0.15977908969720056,-0.08139534883720922,-0.6092321755027423,-0.1482433590402742,0.23958333333333326,-0.10774410774410781,0.06332655137334697,0.16666666666666674,-0.13961117861482386
3,-0.00933090578060991,-0.02763018065887357,0.007247223845704198,-0.1873589164785553,-0.6180257510729614,0.02898550724637672,-0.028301886792452824,-0.028301886792452824,0.007194244604316502,0.0,-0.5784148397976392,0.02285714285714291,-0.832183908045977,-0.8823529411764706,-0.038461538461538436,-0.018812330009066125,-0.6075949367088608,0.06822612085769975,-0.08651911468812867,0.19327731092436973,-0.6150943396226415,0.05700390656142873,0.0,0.19644118062420568
2,-0.001378359751895264,0.015300546448087537,0.0010444470233259562,-0.00462962962962965,-0.2359550561797753,0.04225352112676051,-0.22330097087378642,-0.22330097087378642,-0.19999999999999984,-0.19565217391304335,1.12,-0.0949720670391061,3.589041095890411,-17.5,0.6599999999999999,0.037653037653037735,-0.22580645161290325,1.644160583941606,-0.011013215859030812,0.15962441314554,-0.23529411764705888,0.00392216020515912,0.0,0.020066100094428663
1,-0.03715205889118933,-0.041980624327233595,0.040922791560398686,-0.1665116279069767,-9.941176470588236,-0.14189189189189189,0.1937500000000001,0.1937500000000001,0.2053571428571428,0.2072072072072071,-0.2924528301886793,-0.0864197530864198,-0.3940298507462686,-0.2727272727272727,0.28915662650602414,-0.25779162956366874,-9.875,-0.041269841269841345,-0.27171492204899783,0.1396761133603237,0.0,0.04102178812922608,-0.14285714285714302,0.14938671603795428
0,-0.0382272129972524,-0.17752808988764046,-0.044659761666109854,-0.0011160714285713969,-0.13322368421052633,9.598425196850394,-0.08900523560209428,-0.08900523560209428,-0.09629629629629632,-0.09701492537313439,0.6906666666666668,-0.41891891891891897,1.7586206896551726,-1.5,-0.11214953271028039,0.0,-0.13380281690140838,0.0,0.0,0.12255772646536411,0.0,-0.7007794457274826,2.5,-0.17658310681566491
