,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,Book value of equity per share,P/B ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
11,-0.027344295245805506,0.004303388918773576,-0.004056307041817808,-0.0015552099533436836,-0.04129212816924788,0.0,0.0,0.0,0.0,0.0,0.5361519607843137,0.018404907975460016,0.09461235216819963,-1.2572815533980584,-0.3079222720478326,0.060400707130229936,0.3996282527881041,-0.005505505505505437,0.04999999999999982,-0.014273576890399431,0.386873920552677,0.040000000000000036,0.005782985846903177
10,-0.027344295245805506,0.004303388918773576,-0.004056307041817808,-0.0015552099533436836,-0.04129212816924788,0.0,0.0,0.0,0.0,0.0,0.5361519607843137,0.018404907975460016,0.09461235216819963,-1.2572815533980584,-0.3079222720478326,0.060400707130229936,0.3996282527881041,-0.005505505505505437,0.04999999999999982,-0.014273576890399431,0.386873920552677,0.040000000000000036,0.005782985846903177
9,0.0049581677023089465,0.11901446170326735,0.07960997497627065,0.39294817332200505,-0.04857503339765479,0.16505658294231296,-3.082018927444795,-3.082018927444795,-2.7777777777777777,-2.7777777777777777,0.5361519607843137,0.018404907975460016,0.09461235216819963,-1.2572815533980584,0.11447084233261329,0.043067518755209644,0.3996282527881041,-0.048817312531454604,0.04999999999999982,-0.05326667815893804,0.386873920552677,0.040000000000000036,-0.19655015887426242
8,0.004676667356861897,-0.019529006318207975,0.023737971162760996,-0.05479312798617464,-0.010803853504426808,0.07332385690594645,0.5045454545454546,0.5045454545454546,0.5625,0.5,-0.1998404467491025,-0.1656626506024096,-0.2400960384153662,-0.5157232704402516,0.04974160206718348,0.13052743740010642,0.3996282527881041,0.00846560846560851,0.19047619047619047,-0.015477057538237582,0.386873920552677,0.040000000000000036,0.037288135593220195
7,-0.003858945932116664,-0.050868970904120236,-0.02484268382180721,-0.010163476016347595,0.012288725915411414,-0.001545083324136387,0.4692849949647533,0.4692849949647533,0.48,0.45833333333333326,0.3325024925224327,0.19675090252707572,0.6437598736176935,-2.12987012987013,-0.053538461538461535,0.07516493873704055,0.3996282527881041,0.013116474291710478,0.06222222222222218,0.0162751988163492,0.386873920552677,0.040000000000000036,-0.041212781408859755
6,0.03834656735797504,0.04413126221582142,0.04574713379875739,0.035529961427717804,0.039249035977201086,0.04421355145352046,-0.2755311857436601,-0.2755311857436601,-0.29729729729729726,-0.2857142857142857,-0.09128320239431353,5.911010558069382,-1.8265257087938491,1.2988505747126435,-0.13003901170351106,-0.0035064650449266876,0.3996282527881041,0.04194717762817213,-0.01673640167364021,0.0009099181073703999,0.386873920552677,0.040000000000000036,0.008331755349365588
5,0.009777112076073236,0.14857142857142858,-0.0007502794408121849,-0.22333560673626773,0.01972665034231169,-0.013337567481740198,1.282876064333018,1.282876064333018,1.3461538461538458,1.3599999999999999,-0.16467682173734044,-0.879746835443038,-1.6912790697674418,-2.1100000000000003,0.1659192825112108,0.01451506487794152,0.3996282527881041,0.014413518886679855,-0.025531914893617058,0.009818181818181726,0.386873920552677,0.040000000000000036,0.47887323943661975
4,-0.015711009954615607,0.8932063818836851,0.025007661661048175,0.05491758984058359,-0.04822170221628708,0.08175088509816542,-0.5246581019477828,-0.5246581019477828,-0.5245901639344263,-0.5254237288135593,0.886150813208477,0.42105263157894735,1.3162321278385196,-0.8648648648648649,0.019230769230769162,0.06633427270756553,0.019920318725099362,-0.028907398334149903,0.05240174672489095,-0.03312927619733519,-0.0018679950186799577,0.0,0.7946666666666666
3,0.12031826791466771,-0.4952199719088397,0.2419721341864498,0.6414164051994622,0.01581989264613126,-0.007239908757314284,-0.08892763731473408,-0.08892763731473408,-0.10344827586206884,-0.07142857142857151,-0.09485236477658743,23.659003831417625,-6.792665214233842,-2.533333333333333,-0.028930817610062887,0.02988412278918484,-0.07291666666666663,0.010090817356205761,0.06224066390041494,-0.09329608938547496,-0.09107922645040545,0.0,-0.6924927474704592
2,-0.008885433442550106,-0.013194506776770476,-0.032728279448229425,-0.0948349847858313,0.01633382330579347,0.06673326673326674,-0.2172248803827751,-0.2172248803827751,-0.15384615384615385,-0.23076923076923073,0.03204387990762125,-0.9751916304122643,-1.2056039616373095,6.478260869565218,-0.2227979274611399,0.0268456375838928,-0.04353932584269671,0.007992007992007943,0.015625,0.025467241733415635,-0.07137954701441318,0.0,0.09019788311090671
1,0.019990910392658545,0.2062943423685646,-0.00031110392115385466,-0.10046114726543987,0.03887538183405015,-0.020041206218393004,0.341075794621027,0.341075794621027,0.27272727272727293,0.3500000000000001,-0.47412587412587415,0.43632567849686854,-0.6588414634146341,-1.3837209302325582,0.1100000000000001,-0.04863514033064209,-0.24669603524229067,0.03270564915758167,-0.05769230769230771,0.018626076507110012,-0.26385809312638586,0.0,0.34107218235542414
0,-0.021369190766263424,-0.04901221535213396,-0.05020290288047402,-0.08025105404369492,0.006492805107833455,0.08514908256880727,0.36554238833181407,0.36554238833181407,0.3214285714285714,0.37037037037037024,1.2590425531914895,0.5014534883720929,1.8194816800714926,-2.7954545454545454,-0.1779279279279279,0.1234592847039806,0.06432748538011701,0.0033589251439538614,0.0897959183673469,0.028509634290208252,0.053212851405622486,0.0,0.03399433427762055
